Steps,Total Reward,s1,s2,s3,s4
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,-0.05,-0.02,0.0,-0.02,-0.01
5,-0.24,-0.05,-0.06,-0.02,-0.11
6,-0.43,-0.09,-0.18,0.010000000000000002,-0.16999999999999998
7,-0.04000000000000008,0.09,-0.040000000000000036,-0.05,-0.040000000000000036
8,0.5800000000000001,0.05,0.26,0.06,0.21000000000000002
9,-0.15000000000000002,0.0,-0.009999999999999998,0.02,-0.16000000000000003
10,-0.32,-0.06999999999999999,0.03,-0.03,-0.25
11,-0.2899999999999999,-0.19999999999999998,-0.02,-0.1,0.030000000000000027
12,-0.19,-0.3,-0.06,-0.13,0.3
13,-0.009999999999999926,-0.09999999999999998,0.04,-0.14999999999999997,0.2
14,-0.03,0.12,0.02,-0.16999999999999998,0.0
15,-0.15000000000000008,0.029999999999999916,-0.05,-0.13,0.0
16,-0.26,-0.10999999999999999,0.010000000000000009,-0.16000000000000003,0.0
17,-0.16000000000000003,-0.15000000000000002,-0.13,0.12,0.0
18,0.1000000000000001,-0.16999999999999993,-0.16999999999999998,0.46,-0.02
19,-0.19,-0.21999999999999997,0.0,0.02999999999999997,0.0
20,0.019999999999999976,-0.25,0.22999999999999998,0.09,-0.05
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,-0.01,0.0,0.0,0.0,-0.01
6,-0.13,-0.04,-0.02,0.0,-0.07
7,-0.07999999999999999,-0.049999999999999996,-0.06,0.0,0.03
8,0.06999999999999999,0.039999999999999994,0.04,0.0,-0.009999999999999995
9,-0.08,0.030000000000000002,0.02,-0.03,-0.1
10,-0.030000000000000013,-0.02,0.0,-0.07,0.06
11,-0.32999999999999996,-0.13999999999999999,-0.06,-0.19999999999999998,0.07
12,-0.46,-0.04000000000000001,-0.09000000000000001,-0.2,-0.13
13,-0.15999999999999998,0.01999999999999999,-0.18999999999999997,0.020000000000000018,-0.010000000000000009
14,0.0,-0.19,-0.22999999999999998,0.29,0.13
15,-0.00999999999999997,-0.07999999999999996,-0.13,0.18,0.02
16,0.15999999999999998,0.08999999999999997,0.15000000000000002,-0.04,-0.039999999999999994
17,-0.38,-0.20999999999999996,0.14999999999999997,-0.14,-0.18
18,-0.8,-0.32000000000000006,-0.04999999999999999,-0.18,-0.25
19,-1.2600000000000002,-0.44000000000000006,-0.27,-0.30000000000000004,-0.25
20,-1.0000000000000002,-0.5,-0.3800000000000001,-0.31999999999999995,0.19999999999999996
