Steps,Total Reward,s3,s1,s2,s4
1,0.0,0.0,,,
2,0.0,0.0,,,
3,0.0,0.0,,,
4,-0.04,-0.04,,,
5,0.03,0.03,,,
6,0.01,0.01,,,
7,-0.02,-0.02,,,
8,-0.02,-0.02,,,
9,-0.09,-0.09,,,
10,-0.1,-0.1,,,
11,-0.1,-0.1,,,
12,-0.09999999999999998,-0.09999999999999998,,,
13,-0.18,-0.18,,,
14,-0.20000000000000007,-0.20000000000000007,,,
15,-0.27,-0.27,,,
16,-0.3699999999999999,-0.3699999999999999,,,
17,-0.42000000000000015,-0.42000000000000015,,,
18,-0.5699999999999998,-0.5699999999999998,,,
19,-0.6499999999999999,-0.6499999999999999,,,
20,-0.6500000000000004,-0.6500000000000004,,,
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,-0.01,-0.01,0.0,0.0,0.0
4,-0.06999999999999999,-0.049999999999999996,0.0,-0.02,0.0
5,-0.21999999999999997,-0.05,-0.07,-0.09999999999999999,0.0
6,-0.21999999999999997,0.11,-0.22999999999999998,-0.1,0.0
7,-0.19,0.0,-0.2,0.09,-0.08
8,0.0,-0.02,0.030000000000000027,0.11,-0.12000000000000001
9,0.09999999999999995,0.02,0.14999999999999997,0.0,-0.07
10,0.030000000000000054,-0.03,0.030000000000000027,-0.06,0.09000000000000002
11,-0.26,-0.06,-0.040000000000000036,-0.22999999999999998,0.06999999999999999
12,-0.6200000000000001,-0.13,-0.09999999999999998,-0.34,-0.05
13,-0.7299999999999998,-0.15,-0.25999999999999995,-0.47999999999999987,0.16
14,-1.0700000000000003,-0.15000000000000002,-0.3600000000000001,-0.56,0.0
15,-0.8400000000000001,0.12,-0.19999999999999996,-0.6800000000000002,-0.08
16,-0.3999999999999997,0.28,0.050000000000000044,-0.6999999999999997,-0.03
17,-0.2300000000000003,-0.05000000000000002,-0.030000000000000027,-0.2400000000000002,0.09
18,0.20000000000000007,0.010000000000000009,-0.06000000000000005,0.3500000000000001,-0.09999999999999999
19,0.23000000000000015,-0.03,0.030000000000000027,0.41000000000000014,-0.18
20,-0.7600000000000003,-0.06,-0.30000000000000004,-0.13000000000000034,-0.26999999999999996
